PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
56,193773060,-77.973068,-3.618058,-135.811722,-0.027269,0.033005,0.053622,0.131976,-0.021592,-0.010770
57,193789727,-77.971893,-3.619302,-135.810211,-0.042381,0.035196,0.050362,0.194471,-0.050752,-0.061624
58,193806394,-77.965202,-3.618790,-135.808258,-0.035620,0.017974,0.044222,0.525195,0.026695,0.031036
59,193823061,-77.955833,-3.618485,-135.803406,-0.035149,0.038452,0.046278,0.689129,-0.032695,0.031062
60,193839728,-77.946388,-3.619287,-135.804443,-0.014588,0.034886,0.058902,0.693521,0.007280,-0.045642
61,193856395,-77.946800,-3.620098,-135.800797,-0.021000,0.029002,0.055032,0.101919,-0.015227,-0.042901
62,193873062,-77.950089,-3.620954,-135.797775,-0.037841,0.035926,0.052820,-0.070537,-0.009144,-0.047179
63,193889729,-77.944489,-3.622361,-135.793427,-0.037671,0.046307,0.038678,0.463750,0.006141,-0.085277
64,193906396,-77.932556,-3.621852,-135.793610,-0.035432,0.036151,0.039275,0.845520,0.050912,0.022981
65,193923063,-77.919853,-3.621462,-135.788651,-0.017657,0.026191,0.036830,0.894671,0.028565,0.020522
66,193939730,-77.914658,-3.621272,-135.786499,-0.021736,0.032487,0.051891,0.444259,0.006371,0.012172
67,193956397,-77.919342,-3.622516,-135.780258,-0.018736,0.043425,0.058970,-0.140191,-0.121199,-0.050252
68,193973064,-77.927002,-3.622146,-135.777405,-0.033135,0.050562,0.044587,-0.322861,-0.027687,0.026567
69,193989731,-77.925392,-3.623249,-135.769943,-0.047732,0.051922,0.045440,0.238461,-0.098276,-0.050880
70,194006398,-77.912361,-3.622212,-135.769562,-0.027048,0.056058,0.038910,0.923741,-0.005609,0.060721
71,194023065,-77.901566,-3.621426,-135.765564,-0.028780,0.031089,0.040554,0.785074,0.102111,0.020292
72,194039732,-77.900887,-3.620824,-135.762466,-0.016011,0.036651,0.051869,0.185276,-0.005110,0.031830
73,194056399,-77.905769,-3.620699,-135.757690,-0.031472,0.045978,0.032699,-0.147119,-0.021848,0.004937
74,194073066,-77.907608,-3.621441,-135.752853,-0.049481,0.045469,0.049842,0.035621,-0.020977,-0.049676
75,194089733,-77.896805,-3.622311,-135.750793,-0.041375,0.053692,0.043272,0.794986,0.017000,-0.064134
76,194106400,-77.878860,-3.622461,-135.747314,-0.033198,0.046468,0.033796,1.224319,0.062220,-0.030364
77,194123067,-77.866661,-3.623688,-135.741013,-0.030149,0.034470,0.039317,0.882876,0.029435,-0.091066
78,194139734,-77.865746,-3.624685,-135.740204,-0.037428,0.038356,0.051609,0.207802,0.013351,-0.072228
79,194156401,-77.866531,-3.624938,-135.734528,-0.047709,0.050328,0.036575,0.108732,0.010495,-0.026688
80,194173068,-77.861458,-3.623886,-135.734787,-0.042989,0.041945,0.046123,0.461189,0.051539,0.045264
81,194189735,-77.851654,-3.623363,-135.727905,-0.026350,0.036406,0.051947,0.750766,-0.011641,0.026900
82,194206402,-77.843758,-3.624287,-135.725250,-0.044527,0.032710,0.045042,0.636213,-0.018223,-0.060881
83,194223069,-77.842018,-3.623999,-135.723343,-0.029575,0.054415,0.043410,0.268914,-0.009656,0.011327
84,194239736,-77.844818,-3.625278,-135.718750,-0.025163,0.039423,0.056041,0.002913,-0.092756,-0.067746
85,194256403,-77.847176,-3.625241,-135.715393,-0.056235,0.033628,0.040127,0.024108,0.006947,-0.008580
86,194273070,-77.843689,-3.624524,-135.710648,-0.057424,0.038841,0.049886,0.372005,0.118619,0.009739
87,194289737,-77.836731,-3.625050,-135.708542,-0.044360,0.044676,0.030296,0.592595,-0.059716,-0.025088
88,194306404,-77.833450,-3.625525,-135.704666,-0.030541,0.033907,0.064325,0.369444,0.017807,-0.039495
89,194323071,-77.835236,-3.626595,-135.708542,-0.028275,0.046888,0.056820,0.066343,0.012121,-0.073444
90,194339738,-77.836739,-3.628275,-135.706757,-0.041678,0.039163,0.042076,0.087973,-0.037062,-0.101670
91,194356405,-77.835678,-3.629189,-135.706863,-0.039525,0.048433,0.039124,0.242904,-0.009835,-0.059767
92,194373072,-77.830582,-3.628029,-135.706268,-0.041833,0.052712,0.055210,0.481615,0.094953,0.044496
93,194389739,-77.824104,-3.628251,-135.702972,-0.048396,0.040772,0.046276,0.570427,0.011007,-0.023692
94,194406406,-77.818504,-3.628587,-135.698029,-0.037639,0.055916,0.046874,0.519240,0.047121,-0.038560
95,194423073,-77.816902,-3.628573,-135.696854,-0.039047,0.047245,0.042662,0.282220,0.047147,-0.015867
96,194439740,-77.815041,-3.628608,-135.700272,-0.045689,0.067360,0.045802,0.300648,0.033290,-0.016367
97,194456407,-77.807053,-3.628622,-135.700378,-0.057336,0.059284,0.029995,0.676463,-0.038150,-0.000141
98,194473074,-77.796951,-3.628783,-135.699600,-0.039157,0.043598,0.048522,0.801377,0.038618,-0.027367
99,194489741,-77.790611,-3.628798,-135.699860,-0.035660,0.043619,0.049344,0.576574,0.067816,-0.024396
100,194506408,-77.788933,-3.629413,-135.696564,-0.032007,0.053717,0.049853,0.301724,0.009701,-0.049228
101,194523075,-77.791374,-3.630354,-135.694885,-0.052701,0.043981,0.055247,0.059249,-0.026061,-0.061880
102,194539742,-77.794289,-3.630644,-135.693268,-0.048489,0.052896,0.028389,0.035390,-0.052929,-0.014446
103,194556409,-77.791260,-3.630869,-135.690704,-0.044979,0.065857,0.033308,0.389217,0.044649,-0.032938
104,194573076,-77.781998,-3.632728,-135.694611,-0.052066,0.055393,0.039996,0.763418,0.067816,-0.137553
105,194589743,-77.775810,-3.633248,-135.697021,-0.036753,0.057731,0.047137,0.586115,0.030242,-0.047486
106,194606410,-77.774323,-3.632876,-135.691605,-0.032717,0.046554,0.045790,0.312802,-0.050367,0.021624
107,194623077,-77.776703,-3.633786,-135.686768,-0.047040,0.061623,0.050655,0.079124,-0.026368,-0.062738
108,194639744,-77.779282,-3.633929,-135.679230,-0.044414,0.064005,0.041560,0.074001,-0.084548,-0.004687
109,194656411,-77.778175,-3.633348,-135.674255,-0.057062,0.048940,0.059212,0.295090,-0.007082,0.022866
110,194673078,-77.770912,-3.631790,-135.673569,-0.038779,0.054322,0.059482,0.663414,0.065204,0.068943
111,194689745,-77.765839,-3.631442,-135.673080,-0.044349,0.040098,0.045760,0.534236,0.065101,-0.006096
112,194706412,-77.771019,-3.631481,-135.670151,-0.031780,0.051041,0.054325,-0.077222,0.011750,-0.017558
113,194723079,-77.778175,-3.632426,-135.669006,-0.047862,0.056119,0.035859,-0.190571,-0.035832,-0.063916
114,194739746,-77.780571,-3.632870,-135.666306,-0.048162,0.075952,0.056503,0.102022,-0.081077,-0.023397
115,194756413,-77.773415,-3.632995,-135.667892,-0.054148,0.061362,0.048334,0.672801,0.003554,-0.021476
116,194773080,-77.761360,-3.632527,-135.663849,-0.051127,0.056615,0.041967,0.969524,0.026784,0.006896
117,194789747,-77.751259,-3.632397,-135.659546,-0.037084,0.051334,0.045681,0.856751,0.003912,-0.009041
118,194806414,-77.746773,-3.633555,-135.658630,-0.044596,0.051514,0.043015,0.519867,0.014606,-0.089708
119,194823081,-77.747688,-3.634451,-135.658234,-0.045060,0.050477,0.047444,0.203102,-0.043721,-0.059754
120,194839748,-77.748863,-3.634924,-135.656326,-0.054033,0.063674,0.063936,0.191282,-0.065107,-0.030364
121,194856415,-77.746307,-3.635194,-135.656647,-0.053151,0.058963,0.032587,0.411039,0.044803,-0.041877
122,194873082,-77.739563,-3.635591,-135.652161,-0.057368,0.059423,0.046947,0.671405,-0.031875,-0.034475
123,194889749,-77.730179,-3.635623,-135.652679,-0.056437,0.062621,0.040137,0.827706,0.038464,-0.024767
124,194906416,-77.725159,-3.634954,-135.653763,-0.036133,0.061576,0.034161,0.568711,0.083158,0.011686
125,194923083,-77.729858,-3.633983,-135.651505,-0.024599,0.041255,0.048697,-0.007645,0.012595,0.039770
126,194939750,-77.737663,-3.633641,-135.650925,-0.059797,0.065736,0.041452,-0.187895,-0.075583,0.021572
127,194956417,-77.741890,-3.634089,-135.649551,-0.040230,0.069319,0.044838,0.028040,-0.034500,-0.037023
128,194973084,-77.738976,-3.632782,-135.647171,-0.061678,0.066503,0.057372,0.456783,0.022033,0.059979
129,194989751,-77.733925,-3.632934,-135.644150,-0.050402,0.043362,0.065608,0.592928,-0.052608,-0.016853
130,195006418,-77.730240,-3.633314,-135.641510,-0.035578,0.057720,0.051652,0.507855,0.012032,-0.043516
131,195023085,-77.732491,-3.634306,-135.641968,-0.044844,0.064004,0.052395,0.154630,0.009112,-0.078516
132,195039752,-77.737411,-3.633151,-135.643082,-0.051815,0.071208,0.036235,-0.000820,0.009573,0.048773
133,195056419,-77.738014,-3.632589,-135.642517,-0.057676,0.065639,0.040036,0.263535,-0.031247,0.021098
134,195073086,-77.730476,-3.632514,-135.642715,-0.059525,0.054930,0.048770,0.747001,0.088614,-0.035102
135,195089753,-77.720772,-3.632629,-135.643951,-0.052064,0.045281,0.032667,0.882018,0.067714,-0.040417
136,195106420,-77.715698,-3.632591,-135.645081,-0.049805,0.049359,0.059015,0.614276,-0.051789,-0.002433
137,195123087,-77.717415,-3.632128,-135.642822,-0.042655,0.044369,0.050943,0.206291,-0.011641,0.010930
138,195139754,-77.723824,-3.632891,-135.640625,-0.048159,0.057639,0.049897,-0.069654,-0.080629,-0.048267
139,195156421,-77.725227,-3.634388,-135.640091,-0.063242,0.066344,0.046412,0.225552,0.034391,-0.118446
140,195173088,-77.718239,-3.634304,-135.639969,-0.066413,0.070776,0.029857,0.735846,0.020740,-0.019414
141,195189755,-77.708565,-3.633638,-135.637756,-0.050225,0.063753,0.055170,0.898333,0.039245,0.011071
142,195206422,-77.705872,-3.633621,-135.636108,-0.035222,0.043229,0.051468,0.484791,0.014836,-0.021463
143,195223089,-77.710686,-3.632164,-135.636124,-0.048198,0.036732,0.034978,0.035006,0.034750,0.063155
144,195239756,-77.719017,-3.633512,-135.635254,-0.055296,0.064878,0.038139,-0.174627,0.000327,-0.101542
145,195256423,-77.723534,-3.634917,-135.637756,-0.062619,0.071776,0.047733,0.057251,0.015015,-0.105140
146,195273090,-77.719315,-3.635259,-135.635254,-0.057053,0.074695,0.046872,0.588292,-0.018416,-0.037868
147,195289757,-77.705475,-3.634228,-135.634689,-0.057468,0.051284,0.043897,1.167907,0.000583,0.043727
148,195306424,-77.696777,-3.633736,-135.634018,-0.038223,0.042881,0.037848,0.863487,-0.005929,0.012851
149,195323091,-77.698494,-3.634189,-135.633743,-0.028685,0.055486,0.054644,0.240535,-0.044579,-0.036075
150,195339758,-77.708344,-3.635774,-135.630173,-0.046981,0.056968,0.056242,-0.244153,-0.082037,-0.099083
151,195356425,-77.713997,-3.636311,-135.627747,-0.062265,0.066643,0.044438,0.008996,-0.069590,-0.038957
152,195373092,-77.707619,-3.635555,-135.630402,-0.061917,0.066689,0.028198,0.727036,0.055432,0.012518
153,195389759,-77.698418,-3.635102,-135.630661,-0.044680,0.071027,0.052067,0.905415,-0.013908,0.012044
154,195406426,-77.696266,-3.635617,-135.630035,-0.035862,0.056725,0.042044,0.479988,0.033943,-0.061099
155,195423093,-77.705826,-3.635125,-135.626511,-0.051509,0.041094,0.052820,-0.213354,-0.077696,0.023544
156,195439760,-77.718163,-3.635707,-135.623550,-0.054554,0.068941,0.042288,-0.378492,-0.073304,-0.041185
157,195456427,-77.720917,-3.635814,-135.622559,-0.062768,0.068849,0.034699,0.197749,-0.036665,-0.020401
158,195473094,-77.712044,-3.635534,-135.623398,-0.077672,0.055997,0.020701,0.892750,0.038899,-0.011743
159,195489761,-77.701096,-3.635103,-135.624710,-0.046612,0.051857,0.044306,1.020608,0.064896,-0.005724
160,195506428,-77.694672,-3.636329,-135.622253,-0.035731,0.054421,0.047130,0.753955,-0.009579,-0.095279
161,195523095,-77.696983,-3.636891,-135.618439,-0.035398,0.058713,0.029335,0.229842,-0.004136,-0.058205
162,195539762,-77.703224,-3.637370,-135.619781,-0.056889,0.064481,0.042829,-0.007966,0.072580,-0.066324
163,195556429,-77.705078,-3.636813,-135.622223,-0.059860,0.059907,0.038011,0.262562,0.024812,0.011442
164,195573096,-77.696953,-3.636631,-135.622147,-0.050926,0.056366,0.039602,0.862194,0.033469,-0.018121
165,195589763,-77.690842,-3.636687,-135.620819,-0.033764,0.054437,0.054377,0.743377,0.024838,-0.031183
166,195606430,-77.690750,-3.636508,-135.621170,-0.049070,0.052684,0.050794,0.381264,0.079329,-0.029032
167,195623097,-77.695206,-3.636636,-135.620590,-0.039271,0.044534,0.038363,0.110205,0.080917,-0.044425
168,195639764,-77.700462,-3.637521,-135.617279,-0.050439,0.062480,0.032620,0.068149,-0.041646,-0.070998
169,195656431,-77.703102,-3.637193,-135.617157,-0.051324,0.067080,0.045681,0.223733,0.049836,-0.014574
170,195673098,-77.700333,-3.636880,-135.617371,-0.052430,0.049505,0.041874,0.554790,-0.026394,0.000967
171,195689765,-77.698555,-3.636390,-135.615921,-0.034874,0.058589,0.048986,0.500914,-0.066644,0.023621
172,195706432,-77.700188,-3.635700,-135.614944,-0.047641,0.054953,0.055902,0.293848,-0.005981,0.019498
173,195723099,-77.705605,-3.635334,-135.613327,-0.047620,0.074715,0.045076,0.066727,0.008804,-0.002856
174,195739766,-77.709625,-3.635802,-135.612091,-0.045543,0.075642,0.045427,0.153888,-0.016930,-0.049573
175,195756433,-77.710533,-3.635328,-135.612152,-0.046894,0.063649,0.036064,0.342499,0.001799,0.003336
176,195773100,-77.710541,-3.636157,-135.613083,-0.067462,0.073920,0.050729,0.402075,-0.044720,-0.066414
177,195789767,-77.707329,-3.635116,-135.613113,-0.056787,0.049955,0.036445,0.591071,0.053844,0.026989
178,195806434,-77.703377,-3.634819,-135.613113,-0.063550,0.061292,0.048455,0.635944,0.067534,-0.022450
179,195823101,-77.704109,-3.634269,-135.610855,-0.054243,0.051180,0.042722,0.364578,-0.032643,0.015400
180,195839768,-77.705109,-3.633954,-135.609039,-0.059863,0.048894,0.050632,0.348646,-0.018083,-0.001537
181,195856435,-77.703224,-3.633577,-135.610046,-0.046079,0.060605,0.054684,0.522403,0.000634,0.001210
182,195873102,-77.701057,-3.634361,-135.609879,-0.058201,0.046081,0.057282,0.543598,-0.056873,-0.057270
183,195889769,-77.700180,-3.634246,-135.609039,-0.039909,0.066138,0.059045,0.460433,0.060465,-0.030018
184,195906436,-77.700912,-3.635037,-135.607452,-0.050633,0.053790,0.034135,0.367280,0.012121,-0.077671
185,195923103,-77.704849,-3.634513,-135.609253,-0.053158,0.055584,0.041123,0.176273,0.053819,-0.001947
186,195939770,-77.708366,-3.633786,-135.608032,-0.039174,0.060859,0.054278,0.206419,-0.011257,0.022546
187,195956437,-77.708023,-3.633219,-135.609573,-0.043726,0.060840,0.041728,0.436434,0.039232,0.005334
188,195973104,-77.707321,-3.633141,-135.608932,-0.054925,0.049776,0.047965,0.458371,0.023429,-0.024089
